month;category;exports;imports;balance;
1/1/1997;Food & live animals;596;1075;-479;
1/2/1997;Food & live animals;626;1085;-459;
1/3/1997;Food & live animals;601;1088;-487;
1/4/1997;Food & live animals;610;1255;-645;
1/5/1997;Food & live animals;631;1106;-475;
1/6/1997;Food & live animals;622;1041;-419;
1/7/1997;Food & live animals;593;1059;-466;
1/8/1997;Food & live animals;577;1060;-483;
1/9/1997;Food & live animals;556;1058;-502;
1/10/1997;Food & live animals;606;1053;-447;
1/11/1997;Food & live animals;573;1112;-539;
1/12/1997;Food & live animals;614;1038;-424;
1/1/1998;Food & live animals;655;1058;-403;
1/2/1998;Food & live animals;617;1042;-425;
1/3/1998;Food & live animals;631;1033;-402;
1/4/1998;Food & live animals;620;1056;-436;
1/5/1998;Food & live animals;614;1076;-462;
1/6/1998;Food & live animals;588;1055;-467;
1/7/1998;Food & live animals;598;1069;-471;
1/8/1998;Food & live animals;628;1106;-478;
1/9/1998;Food & live animals;611;1096;-485;
1/10/1998;Food & live animals;564;1083;-519;
1/11/1998;Food & live animals;585;1087;-502;
1/12/1998;Food & live animals;579;1099;-520;
1/1/1999;Food & live animals;558;1062;-504;
1/2/1999;Food & live animals;568;1122;-554;
1/3/1999;Food & live animals;571;1085;-514;
1/4/1999;Food & live animals;589;1041;-452;
1/5/1999;Food & live animals;577;1069;-492;
1/6/1999;Food & live animals;557;1120;-563;
1/7/1999;Food & live animals;547;1120;-573;
1/8/1999;Food & live animals;560;1113;-553;
1/9/1999;Food & live animals;560;1109;-549;
1/10/1999;Food & live animals;595;1112;-517;
1/11/1999;Food & live animals;558;1105;-547;
1/12/1999;Food & live animals;581;1121;-540;
1/1/2000;Food & live animals;583;1149;-566;
1/2/2000;Food & live animals;545;1069;-524;
1/3/2000;Food & live animals;545;1123;-578;
1/4/2000;Food & live animals;553;1131;-578;
1/5/2000;Food & live animals;555;1149;-594;
1/6/2000;Food & live animals;573;1114;-541;
1/7/2000;Food & live animals;588;1152;-564;
1/8/2000;Food & live animals;564;1117;-553;
1/9/2000;Food & live animals;564;1113;-549;
1/10/2000;Food & live animals;569;1130;-561;
1/11/2000;Food & live animals;578;1122;-544;
1/12/2000;Food & live animals;533;1201;-668;
1/1/2001;Food & live animals;581;1214;-633;
1/2/2001;Food & live animals;556;1250;-694;
1/3/2001;Food & live animals;535;1230;-695;
1/4/2001;Food & live animals;510;1183;-673;
1/5/2001;Food & live animals;499;1251;-752;
1/6/2001;Food & live animals;541;1225;-684;
1/7/2001;Food & live animals;531;1233;-702;
1/8/2001;Food & live animals;518;1219;-701;
1/9/2001;Food & live animals;502;1251;-749;
1/10/2001;Food & live animals;461;1254;-793;
1/11/2001;Food & live animals;494;1232;-738;
1/12/2001;Food & live animals;510;1233;-723;
1/1/2002;Food & live animals;512;1234;-722;
1/2/2002;Food & live animals;538;1259;-721;
1/3/2002;Food & live animals;554;1299;-745;
1/4/2002;Food & live animals;548;1309;-761;
1/5/2002;Food & live animals;559;1240;-681;
1/6/2002;Food & live animals;542;1279;-737;
1/7/2002;Food & live animals;564;1304;-740;
1/8/2002;Food & live animals;611;1358;-747;
1/9/2002;Food & live animals;587;1361;-774;
1/10/2002;Food & live animals;572;1333;-761;
1/11/2002;Food & live animals;569;1378;-809;
1/12/2002;Food & live animals;561;1345;-784;
1/1/2003;Food & live animals;571;1395;-824;
1/2/2003;Food & live animals;589;1410;-821;
1/3/2003;Food & live animals;572;1400;-828;
1/4/2003;Food & live animals;569;1417;-848;
1/5/2003;Food & live animals;575;1385;-810;
1/6/2003;Food & live animals;571;1438;-867;
1/7/2003;Food & live animals;582;1425;-843;
1/8/2003;Food & live animals;657;1447;-790;
1/9/2003;Food & live animals;587;1454;-867;
1/10/2003;Food & live animals;596;1469;-873;
1/11/2003;Food & live animals;603;1527;-924;
1/12/2003;Food & live animals;617;1510;-893;
1/1/2004;Food & live animals;559;1497;-938;
1/2/2004;Food & live animals;580;1493;-913;
1/3/2004;Food & live animals;588;1517;-929;
1/4/2004;Food & live animals;604;1496;-892;
1/5/2004;Food & live animals;589;1532;-943;
1/6/2004;Food & live animals;612;1522;-910;
1/7/2004;Food & live animals;609;1496;-887;
1/8/2004;Food & live animals;585;1505;-920;
1/9/2004;Food & live animals;596;1563;-967;
1/10/2004;Food & live animals;616;1533;-917;
1/11/2004;Food & live animals;669;1531;-862;
1/12/2004;Food & live animals;647;1578;-931;
1/1/2005;Food & live animals;645;1603;-958;
1/2/2005;Food & live animals;638;1602;-964;
1/3/2005;Food & live animals;616;1570;-954;
1/4/2005;Food & live animals;614;1621;-1007;
1/5/2005;Food & live animals;635;1633;-998;
1/6/2005;Food & live animals;629;1613;-984;
1/7/2005;Food & live animals;632;1645;-1013;
1/8/2005;Food & live animals;633;1642;-1009;
1/9/2005;Food & live animals;637;1627;-990;
1/10/2005;Food & live animals;639;1659;-1020;
1/11/2005;Food & live animals;614;1618;-1004;
1/12/2005;Food & live animals;646;1684;-1038;
1/1/2006;Food & live animals;655;1666;-1011;
1/2/2006;Food & live animals;636;1674;-1038;
1/3/2006;Food & live animals;635;1676;-1041;
